nome_empresa,categoria_principal,subcategoria1,subcategoria2,coluna_origem
connecteng,,,,empresas2
consorciei,,,,empresa3
constru liga,,,,empresas2
construHUB,,,,empresas2
construct web - gestão eficiente de obras,,,,empresas2
construflow,,,,empresa1
construo - gestão de projetos para obras,,,,empresas2
conviva,,,,empresa4
coordly,,,,empresas2
cosecurity,,,,empresa4
cosmobots,,,,empresa3
cotacasa,,,,empresas2
crawly,,,,empresa1
credaluga,,,,empresa3
crediblue,,,,empresa3
credikasa,,,,empresa3
credimorar,,,,empresa3
cubicset - More for Less,,,,empresas2
cugconsultoria,,,,empresas2
custoEXPRESSO,,,,empresas2
cyclinn,,,,empresa4
cômodo.,,,,empresa4
d.,,,,empresas2
data life - GLOBAL,,,,empresas2
date a home,,,,empresa3
decor em casa,,,,empresa4
decoradornet,,,,empresa4
deepen,,,,empresa3
design here,,,,empresa4
deskbee,,,,empresa4
destinejá,,,,empresas2
dezker,,,,empresa4
dia de obra,,,,empresas2
divid,,,,empresa4
divvy,,,,empresa3
donamaid,,,,empresa4
dooma,,,,empresa4
doorz,,,,empresa3
duotalk,,,,empresa3
dyonaOS,,,,empresa4
eCondos,,,,empresa4
eConfor,,,,empresa4
easy market - honest culture,,,,empresa4
easy supply,,,,empresas2
ebrigada - prevenção de sinistros,,,,empresa4
ecomud - soluções ambientais e pavimentação,,,,empresas2
ecustos,,,,empresas2
edsun,,,,empresa4
eficienergy,,,,empresa4
eletro moove,,,,empresa4
eloverde,,,,empresas2
endelevo - soluções sustentáveis,,,,empresa1
enercycle,,,,empresa4
engplay,,,,empresas2
entendantes (Entenda Antes),,,,empresa4
especifica.,,,,empresa3
esphera - Soluções Ambientais,,,,empresas2
estoque imóvel,,,,empresa3
estoque parado,,,,empresas2
estrelas ARCHI,,,,empresa1
estudeAE,,,,empresas2
euAcerto,,,,empresa3
euconstruindo.com,,,,empresas2
expert,,,,empresas2
ezok.,,,,empresa3
famyle,,,,empresa4
fast4you,,,,empresa4
fechô,,,,empresa3
financiei.,,,,empresa3
findme,,,,empresa4
fisgar,,,,empresa3
flat.com.br,,,,empresa3
flexu houses,,,,empresa3
flora,,,,empresa4
flow leads,,,,empresa3
fobbi,,,,empresas2
gendo,,,,empresa4
gero360,,,,empresa4
giica,,,,empresa1
goFlux,,,,empresa4
granto seguros,,,,empresa3
grazon,,,,empresa3
greenclub,,,,empresa4
greenv,,,,empresa4
grupo eneergia,,,,empresa4
gruporv - redevistorias e redeconfiax,,,,empresa3
gruppi,,,,empresa3
habitissimo,,,,empresas2
hallco,,,,empresas2
harry,,,,empresa3
hauseful,,,,empresa3
havite,,,,empresa3
hent,,,,empresa1
hollox,,,,empresa3
holu,,,,empresa4
home team,,,,empresa4
homebook - smart portaria,,,,empresa4
homer,,,,empresa3
